1  | west  | 4
1  | drive | 6
1  | north | 7
1  | south | 3 
1  | east  | 2 
2  | south | 3 
2  | drive | 8
2  | west  | 7
3  | east  | 19 
3  | north | 20 
3  | drive | 2
3  | walk  | 9 
4  | drive | 6 
4  | east  | 1 
5  | walk  | 21
5  | crawl | 23 
7  | north | 11 
7  | climb | 12 
7  | drive | 5 
8  | up    | 13 
8  | down  | 15 
8  | east  | 6 
8  | drive | 2 
8  | south | 19
9  | up    | 10 
9  | right | 14  
10 | down  | 9 
11 | south | 7 
11 | drive | 9
12 | climb | 7 
12 | crawl | 16 
13 | down  | 8 
14 | left  | 9 
15 | up    | 8 
16 | walk  | 7 
18 | crawl | 6 
19 | right | 20 
19 | west  | 3
19 | drive | 8
19 | east  | 4
20 | south | 3 
20 | left  | 19
21 | walk  | 22 
22 | walk  |23 
23 | walk  | 24
23 | crawl | 21 
24 | walk  | 25 
25 | walk  | 26 
